Position,Team,per,ws,bpm,Year,CareerLen,Rank,Value,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,College,Target
SF,CHI,4.0,-0.2,-7.4,2018,5,23,2600.0,0,1,2,0,1,2,4,2,2,2,1,3,3,2,4,3,1,1,1,0,0,0,1,0,2,4,1,0,4,2,Washington,SAS
PF,CHI,19.7,3.5,0.8,2018,2,23,2600.0,2,2,3,0,0,0,2,2,3,2,0,2,0,1,0,1,2,2,1,2,1,1,1,0,4,1,4,1,3,4,Arkansas,WAS
SG,PHO,4.8,-0.3,-6.4,2018,0,29,1280.0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,Miami (FL),IND
SG,SAC,5.8,-0.1,-6.0,2018,1,24,1375.0,0,1,0,0,1,0,0,1,0,0,3,0,1,1,0,1,1,1,0,0,2,0,0,1,0,2,0,0,1,3,Syracuse,TOR
SG,LAC,12.6,2.4,-1.2,2018,5,17,2150.0,0,1,3,1,2,0,2,0,0,2,0,0,1,3,1,2,0,3,0,0,2,3,0,0,4,2,2,1,4,1,Duke,HOU
PG,NOP,15.3,3.6,-0.3,2018,11,8,1000.0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,2,0,1,0,0,0,Kentucky,LAL
PG,CLE,11.6,-0.1,-5.4,2018,8,5,1325.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,Memphis,MIN
SF,SAC,13.9,0.8,-1.2,2018,2,24,1375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,St. John's,CHI
PF,WAS,13.6,2.5,-1.7,2018,5,16,1350.0,1,1,2,2,3,2,0,0,5,0,0,4,0,1,0,0,0,0,1,0,1,0,1,2,2,2,1,0,0,1,Virginia,PHI
SG,CLE,6.4,0.0,-3.3,2018,6,5,1325.0,1,3,3,0,2,1,0,0,2,1,1,1,0,4,3,1,1,2,3,1,2,2,1,1,0,1,2,1,3,2,Georgia Tech,HOU
